			CorrelationID:Fixed:0038
Job ID	21-22	01
	23-26	The Job ID is specified by four ASCII characters, range 0000-9999
Job status	27-28	02
	29	"The Job batch status is specified by one ASCII character.
0=Job not completed, 1=Job OK, 2=Job NOK."
Job batch mode	30-31	03
	32	"The Job batch mode is the way to count the tightening in a Job only the OK or both OK and NOK. One ASCII character
0= only the OK tightenings are counted
1= both the OK and NOK tightenings are counted"
Job batch size	33-34	04
	35-38	This parameter gives the total number of tightening in the Job. The Job batch size is four bytes long. Four ASCII characters, range 0000-9999.
Job batch counter	39-40	05
	41-44	This parameter gives the current value of the Job batch counter. The Job is completed when the Job batch counter is equal to the Job batch size. The Job batch counter is four bytes long. Four ASCII characters, range 0000-9999.
Time stamp	45-46	06
	47-65	Time stamp for the Job info. The time stamp is 19 bytes long and is specified by 19 ASCII characters YYYY-MM-DD:HH:MM:SS.
